,LARCENY-THEFT,FRAUD OFFENSES,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,ROBBERY,DRIVING UNDER THE INFLUENCE,"FAMILY OFFENSES, NONVIOLENT",BAD CHECKS,STOLEN PROPERTY OFFENSES,WEAPON LAW VIOLATIONS,SEX OFFENSES,PROSTITUTION OFFENSES,COUNTERFEITING/FORGERY,LIQUOR LAW VIOLATIONS,ARSON,EMBEZZLEMENT,KIDNAPPING/ABDUCTION,CURFEW/LOITERING/VAGRANCY VIOLATIONS,EXTORTION/BLACKMAIL,HOMICIDE OFFENSES,PORNOGRAPHY/OBSCENE MATERIAL,ANIMAL CRUELTY,PEEPING TOM,"SEX OFFENSES, CONSENSUAL",HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,BRIBERY
2023,2508.0,252.0,1206.0,886.0,754.0,862.0,200.0,87.0,180.0,176.0,5.0,2.0,93.0,82.0,57.0,,34.0,,19.0,2.0,28.0,,10.0,7.0,4.0,3.0,2.0,,,,,
2022,,2549.0,,8666.0,7236.0,,2047.0,671.0,1758.0,1301.0,75.0,34.0,,826.0,496.0,36.0,230.0,16.0,181.0,41.0,,6.0,,,45.0,37.0,8.0,7.0,12.0,,1.0,
2021,27172.0,2650.0,11022.0,9823.0,,5329.0,1825.0,393.0,1753.0,990.0,61.0,27.0,611.0,578.0,461.0,50.0,305.0,7.0,,36.0,184.0,13.0,112.0,43.0,34.0,,5.0,8.0,8.0,5.0,1.0,1.0
2020,23322.0,,10296.0,,6658.0,4942.0,2624.0,1003.0,1489.0,998.0,43.0,38.0,620.0,618.0,471.0,27.0,372.0,29.0,171.0,68.0,130.0,23.0,105.0,55.0,39.0,26.0,15.0,5.0,10.0,4.0,1.0,1.0
2019,26035.0,3463.0,11183.0,7643.0,5804.0,3991.0,3914.0,1637.0,1555.0,1408.0,313.0,206.0,625.0,652.0,,231.0,434.0,69.0,111.0,93.0,123.0,46.0,95.0,38.0,50.0,17.0,15.0,7.0,,3.0,,
2018,27035.0,3722.0,11330.0,8105.0,6651.0,4099.0,,2165.0,1701.0,1390.0,885.0,416.0,704.0,,590.0,121.0,,82.0,112.0,126.0,81.0,64.0,102.0,34.0,,,16.0,10.0,,,2.0,1.0
2017,26977.0,3891.0,10311.0,7790.0,6644.0,3705.0,3909.0,2325.0,1541.0,1381.0,913.0,476.0,495.0,783.0,539.0,382.0,315.0,89.0,149.0,143.0,78.0,60.0,79.0,30.0,22.0,,,14.0,2.0,,3.0,2.0
2016,27170.0,3674.0,9794.0,7549.0,6322.0,4175.0,2832.0,1849.0,1553.0,1166.0,903.0,480.0,386.0,664.0,475.0,451.0,343.0,110.0,102.0,147.0,59.0,62.0,68.0,22.0,13.0,,9.0,15.0,,,,
2015,26632.0,3849.0,9393.0,7593.0,5983.0,3873.0,2189.0,1612.0,1548.0,1025.0,,456.0,336.0,708.0,362.0,343.0,414.0,111.0,92.0,186.0,39.0,47.0,40.0,28.0,14.0,,14.0,4.0,,,2.0,1.0
2014,28324.0,4919.0,9010.0,7135.0,5750.0,5497.0,1367.0,1230.0,1579.0,1014.0,907.0,513.0,248.0,490.0,346.0,314.0,380.0,125.0,73.0,153.0,55.0,42.0,20.0,28.0,13.0,,9.0,10.0,,,1.0,
2013,25535.0,3133.0,8532.0,7285.0,5720.0,4261.0,1235.0,1706.0,1601.0,1110.0,828.0,487.0,244.0,538.0,300.0,221.0,358.0,148.0,87.0,139.0,45.0,57.0,20.0,26.0,22.0,,16.0,13.0,,,,
2012,22293.0,2841.0,8749.0,6548.0,5665.0,3683.0,956.0,2011.0,1449.0,1272.0,761.0,508.0,211.0,517.0,332.0,251.0,333.0,184.0,74.0,134.0,60.0,55.0,25.0,24.0,14.0,,13.0,15.0,,,2.0,
2011,22167.0,2397.0,8839.0,6788.0,5725.0,3465.0,937.0,2062.0,1421.0,,897.0,542.0,238.0,610.0,304.0,426.0,315.0,193.0,83.0,125.0,47.0,77.0,7.0,24.0,11.0,,14.0,13.0,,,1.0,2.0
2010,23611.0,3329.0,9049.0,6442.0,5995.0,3570.0,1165.0,2868.0,1423.0,1302.0,933.0,761.0,238.0,581.0,306.0,,267.0,353.0,112.0,135.0,46.0,,17.0,19.0,11.0,,9.0,15.0,,,1.0,1.0
2009,25313.0,2785.0,9099.0,6616.0,6362.0,3398.0,1172.0,2688.0,,1237.0,911.0,,226.0,603.0,318.0,327.0,337.0,,149.0,166.0,54.0,121.0,22.0,21.0,15.0,,8.0,,,,,2.0
2008,23059.0,3132.0,8990.0,6566.0,7032.0,3846.0,1281.0,,1668.0,1066.0,781.0,749.0,262.0,755.0,338.0,300.0,340.0,393.0,85.0,,54.0,102.0,27.0,30.0,19.0,,13.0,16.0,,,5.0,2.0
2007,276.0,342.0,54.0,76.0,64.0,29.0,2.0,4.0,7.0,,34.0,53.0,1.0,,35.0,3.0,22.0,1.0,,48.0,1.0,,,,1.0,,,4.0,,,,
2006,32.0,122.0,9.0,3.0,5.0,,2.0,5.0,,,19.0,10.0,,,8.0,,2.0,,,10.0,,,,,,,,5.0,,,,
2005,12.0,65.0,5.0,1.0,,2.0,,1.0,,1.0,8.0,4.0,,,5.0,1.0,5.0,,,7.0,,1.0,,,,,,1.0,,,,
2004,10.0,48.0,2.0,2.0,4.0,2.0,,,,,8.0,3.0,,,9.0,,3.0,,,3.0,,,,,,,,1.0,,,,
2003,7.0,26.0,2.0,1.0,1.0,1.0,,,,,7.0,,,,10.0,,,,,1.0,,,,,,,,1.0,,,,
2002,2.0,18.0,,1.0,1.0,1.0,,,,,3.0,3.0,,,4.0,,,,,2.0,,,,,,,,,,,,
2001,20.0,32.0,7.0,12.0,4.0,,1.0,,2.0,,6.0,3.0,,,6.0,,,,,1.0,,,,,,,,1.0,,,,
2000,18.0,19.0,6.0,3.0,2.0,,,,1.0,,8.0,3.0,,,9.0,,,,,1.0,,,,,,,,,,,,
1999,,9.0,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,
1998,7.0,5.0,1.0,,,,,,,,5.0,1.0,,,4.0,,,,,1.0,,,,,,,,1.0,,,,
1997,,7.0,1.0,,,,,,,,2.0,,,,4.0,,1.0,,,,,,,,,,,,1.0,,,
1996,,4.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1995,,3.0,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,1.0,,,,
1994,,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1993,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1992,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,
1991,,8.0,,,,,,,,,2.0,,,,4.0,,1.0,,,,,,,,,,,1.0,,,,
1990,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1989,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1987,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1984,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1980,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1979,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1964,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1957,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1915,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
